Méthode,accuracy,f1_score,auc_roc,time,report,timestamp,metadata,history
rnn_only,0.9825918762088974,0.9366197183098591,0.9972460339009348,5.686665058135986,"              precision    recall  f1-score   support

         ham       0.99      0.99      0.99       889
        spam       0.96      0.92      0.94       145

    accuracy                           0.98      1034
   macro avg       0.97      0.96      0.96      1034
weighted avg       0.98      0.98      0.98      1034
",2026-04-25T18:07:50.622221,"{'architecture': 'SimpleRNN(64)', 'representation': 'Embedding'}","{'accuracy': [0.8951027989387512, 0.9634220004081726, 0.987908124923706, 0.9870011806488037, 0.9948609471321106], 'loss': [0.29698431491851807, 0.12556160986423492, 0.05359415337443352, 0.045352064073085785, 0.018933482468128204], 'val_accuracy': [0.9492140412330627, 0.9758161902427673, 0.9770253896713257, 0.9806529879570007, 0.9866989254951477], 'val_loss': [0.16586934030056, 0.08225048333406448, 0.06619440019130707, 0.050193917006254196, 0.046334005892276764]}"
lstm_only,0.9854932301740812,0.9480968858131488,0.9954229859198634,31.541691541671753,"              precision    recall  f1-score   support

         ham       0.99      0.99      0.99       889
        spam       0.95      0.94      0.95       145

    accuracy                           0.99      1034
   macro avg       0.97      0.97      0.97      1034
weighted avg       0.99      0.99      0.99      1034
",2026-04-25T18:08:22.869605,"{'architecture': 'LSTM(64)', 'representation': 'Embedding'}","{'accuracy': [0.8966142535209656, 0.9773277044296265, 0.9909310936927795, 0.996070146560669, 0.9981862306594849], 'loss': [0.31010711193084717, 0.09782177954912186, 0.03440895304083824, 0.015689494088292122, 0.008278812281787395], 'val_accuracy': [0.9564691781997681, 0.9818621277809143, 0.987908124923706, 0.9854897260665894, 0.990326464176178], 'val_loss': [0.15050728619098663, 0.05389264225959778, 0.038451455533504486, 0.04057827219367027, 0.03822915628552437]}"
gru_only,0.9825918762088974,0.9379310344827586,0.9966564524262054,13.354676246643066,"              precision    recall  f1-score   support

         ham       0.99      0.99      0.99       889
        spam       0.94      0.94      0.94       145

    accuracy                           0.98      1034
   macro avg       0.96      0.96      0.96      1034
weighted avg       0.98      0.98      0.98      1034
",2026-04-25T18:08:36.881535,"{'architecture': 'GRU(64)', 'representation': 'Embedding'}","{'accuracy': [0.8721281886100769, 0.9773277044296265, 0.9918379783630371, 0.9975816011428833, 0.9987908005714417], 'loss': [0.3532496392726898, 0.08870697766542435, 0.02799581177532673, 0.012732874602079391, 0.00741547392681241], 'val_accuracy': [0.9480048418045044, 0.984280526638031, 0.9891172647476196, 0.9891172647476196, 0.9915356636047363], 'val_loss': [0.14810161292552948, 0.04126083478331566, 0.03240232542157173, 0.030229365453124046, 0.03008364327251911]}"
tfidf_rnn,0.97678916827853,0.9032258064516129,0.9909377562493131,4.8307414054870605,"              precision    recall  f1-score   support

         ham       0.98      0.99      0.99       903
        spam       0.96      0.85      0.90       131

    accuracy                           0.98      1034
   macro avg       0.97      0.92      0.95      1034
weighted avg       0.98      0.98      0.98      1034
",2026-04-25T18:08:43.105174,"{'architecture': 'SimpleRNN(64)', 'representation': 'TF-IDF'}","{'accuracy': [0.8669891357421875, 0.9413542747497559, 0.9885126948356628, 0.996070146560669, 0.9981862306594849], 'loss': [0.4891667366027832, 0.15328848361968994, 0.045389171689748764, 0.01805068552494049, 0.008945252746343613], 'val_accuracy': [0.8960096836090088, 0.9854897260665894, 0.9915356636047363, 0.9915356636047363, 0.9915356636047363], 'val_loss': [0.24591363966464996, 0.08610204607248306, 0.05064855143427849, 0.0455978587269783, 0.045534729957580566]}"
tfidf_lstm,0.9738878143133463,0.8906882591093117,0.9900670369337154,10.922126054763794,"              precision    recall  f1-score   support

         ham       0.98      0.99      0.99       903
        spam       0.95      0.84      0.89       131

    accuracy                           0.97      1034
   macro avg       0.96      0.92      0.94      1034
weighted avg       0.97      0.97      0.97      1034
",2026-04-25T18:08:54.931785,"{'architecture': 'LSTM(64)', 'representation': 'TF-IDF'}","{'accuracy': [0.8691052198410034, 0.8845223784446716, 0.9613059163093567, 0.9876058101654053, 0.9936517477035522], 'loss': [0.5883603692054749, 0.27338898181915283, 0.12051767855882645, 0.05040709674358368, 0.024975501000881195], 'val_accuracy': [0.8790810108184814, 0.9298669695854187, 0.9818621277809143, 0.9891172647476196, 0.990326464176178], 'val_loss': [0.4180053472518921, 0.17499636113643646, 0.08633299171924591, 0.05540190637111664, 0.04759712144732475]}"
tfidf_gru,0.9738878143133463,0.8906882591093117,0.9914618785557894,14.343181848526001,"              precision    recall  f1-score   support

         ham       0.98      0.99      0.99       903
        spam       0.95      0.84      0.89       131

    accuracy                           0.97      1034
   macro avg       0.96      0.92      0.94      1034
weighted avg       0.97      0.97      0.97      1034
",2026-04-25T18:09:09.932624,"{'architecture': 'GRU(64)', 'representation': 'TF-IDF'}","{'accuracy': [0.8573155999183655, 0.8978234529495239, 0.9779322743415833, 0.9915356636047363, 0.996372401714325], 'loss': [0.5166650414466858, 0.21002396941184998, 0.08852338790893555, 0.032421793788671494, 0.015578108839690685], 'val_accuracy': [0.8790810108184814, 0.9552599787712097, 0.987908124923706, 0.9891172647476196, 0.9891172647476196], 'val_loss': [0.29338690638542175, 0.14403989911079407, 0.06437098979949951, 0.04779930040240288, 0.04461967945098877]}"
glove_rnn,0.971953578336557,0.8853754940711462,0.976418723001361,13.129133701324463,"              precision    recall  f1-score   support

         ham       0.98      0.99      0.98       903
        spam       0.92      0.85      0.89       131

    accuracy                           0.97      1034
   macro avg       0.95      0.92      0.93      1034
weighted avg       0.97      0.97      0.97      1034
",2026-04-25T18:09:41.224344,"{'architecture': 'SimpleRNN(64)', 'representation': 'GloVe(200d)'}","{'accuracy': [0.8431076407432556, 0.9721886515617371, 0.9809552431106567, 0.9857920408248901, 0.9885126948356628], 'loss': [0.3446105718612671, 0.08876854926347733, 0.062283240258693695, 0.0468178391456604, 0.03643060848116875], 'val_accuracy': [0.9697702527046204, 0.974606990814209, 0.9758161902427673, 0.9806529879570007, 0.9794437885284424], 'val_loss': [0.10459772497415543, 0.07370074093341827, 0.06472229212522507, 0.06508941203355789, 0.057299308478832245]}"
glove_lstm,0.9758220502901354,0.897119341563786,0.987704259761778,45.201772689819336,"              precision    recall  f1-score   support

         ham       0.98      1.00      0.99       903
        spam       0.97      0.83      0.90       131

    accuracy                           0.98      1034
   macro avg       0.97      0.91      0.94      1034
weighted avg       0.98      0.98      0.98      1034
",2026-04-25T18:10:27.858565,"{'architecture': 'LSTM(64)', 'representation': 'GloVe(200d)'}","{'accuracy': [0.9117291569709778, 0.9764208197593689, 0.9857920408248901, 0.9885126948356628, 0.9933494329452515], 'loss': [0.2711220383644104, 0.0787210613489151, 0.05305607244372368, 0.039260491728782654, 0.03015863709151745], 'val_accuracy': [0.9770253896713257, 0.9794437885284424, 0.984280526638031, 0.9854897260665894, 0.9830713272094727], 'val_loss': [0.08973897993564606, 0.06409350782632828, 0.05671631172299385, 0.049198370426893234, 0.051326338201761246]}"
glove_gru,0.971953578336557,0.8816326530612245,0.9904516750779844,35.63432264328003,"              precision    recall  f1-score   support

         ham       0.97      0.99      0.98       903
        spam       0.95      0.82      0.88       131

    accuracy                           0.97      1034
   macro avg       0.96      0.91      0.93      1034
weighted avg       0.97      0.97      0.97      1034
",2026-04-25T18:11:04.711977,"{'architecture': 'GRU(64)', 'representation': 'GloVe(200d)'}","{'accuracy': [0.8234582543373108, 0.9594921469688416, 0.9824667572975159, 0.9860942959785461, 0.9921402931213379], 'loss': [0.3635885417461395, 0.12257040292024612, 0.05946176499128342, 0.045590437948703766, 0.0324350968003273], 'val_accuracy': [0.9286577701568604, 0.9770253896713257, 0.9818621277809143, 0.974606990814209, 0.984280526638031], 'val_loss': [0.1938503086566925, 0.07216697186231613, 0.061723001301288605, 0.0709960013628006, 0.05275515094399452]}"
w2v_rnn,0.9758220502901354,0.9042145593869731,0.9877423008969254,7.347912788391113,"              precision    recall  f1-score   support

         ham       0.99      0.99      0.99       903
        spam       0.91      0.90      0.90       131

    accuracy                           0.98      1034
   macro avg       0.95      0.94      0.95      1034
weighted avg       0.98      0.98      0.98      1034
",2026-04-25T18:11:15.866106,"{'architecture': 'SimpleRNN(64)', 'representation': 'Word2Vec(50d)'}","{'accuracy': [0.9038693904876709, 0.9703748226165771, 0.9682587385177612, 0.9749093055725098, 0.9791414737701416], 'loss': [0.2645164430141449, 0.10365758836269379, 0.09141159802675247, 0.08845975995063782, 0.07314104586839676], 'val_accuracy': [0.9613059163093567, 0.9733978509902954, 0.9516323804855347, 0.9552599787712097, 0.9794437885284424], 'val_loss': [0.13480694591999054, 0.08184728026390076, 0.14484646916389465, 0.12557877600193024, 0.06789776682853699]}"
